Latitude,Longitude,Speed,Heading,Timestamp
42.1015,-87.77362,34.8,92.1,2018-09-21 14:11:25:660
42.1015,-87.7735,36.1,92.6,2018-09-21 14:11:26:160
42.1015,-87.7735,36.1,92.6,2018-09-21 14:11:26:663
42.10149,-87.77339,36.6,92.7,2018-09-21 14:11:27:160
42.10149,-87.77339,36.6,92.7,2018-09-21 14:11:27:660
42.10149,-87.77326,38.7,92.2,2018-09-21 14:11:28:160
42.10149,-87.77326,38.7,92.2,2018-09-21 14:11:28:661
42.10149,-87.77313,39.3,92.1,2018-09-21 14:11:29:160
42.10149,-87.77313,39.3,92.1,2018-09-21 14:11:29:660
42.10149,-87.773,39,92.4,2018-09-21 14:11:30:160
42.10149,-87.773,39,92.4,2018-09-21 14:11:30:660
42.10147,-87.77287,39.6,92.6,2018-09-21 14:11:31:160
42.10147,-87.77287,39.6,92.6,2018-09-21 14:11:31:660
42.10147,-87.77273,40.8,92.8,2018-09-21 14:11:32:160
42.10147,-87.77273,40.8,92.8,2018-09-21 14:11:32:660
42.10147,-87.7726,40.2,93,2018-09-21 14:11:33:160
42.10147,-87.7726,40.2,93,2018-09-21 14:11:33:660
42.10147,-87.77248,38.3,92.5,2018-09-21 14:11:34:160
42.10147,-87.77248,38.3,92.5,2018-09-21 14:11:34:660
42.10146,-87.77235,36.6,91.8,2018-09-21 14:11:35:160
42.10146,-87.77235,36.6,91.8,2018-09-21 14:11:35:660
42.10146,-87.77224,35,91.8,2018-09-21 14:11:36:161
42.10146,-87.77224,35,91.8,2018-09-21 14:11:36:661
42.10146,-87.77212,33.7,91.9,2018-09-21 14:11:37:160
42.10146,-87.77212,33.7,91.9,2018-09-21 14:11:37:661
42.10146,-87.77201,31.5,92.1,2018-09-21 14:11:38:161
42.10146,-87.77201,31.5,92.1,2018-09-21 14:11:38:660
42.10146,-87.77191,30.1,92.6,2018-09-21 14:11:39:160
42.10146,-87.77191,30.1,92.6,2018-09-21 14:11:39:660
42.10145,-87.77181,29.3,93.7,2018-09-21 14:11:40:160
42.10145,-87.77181,29.3,93.7,2018-09-21 14:11:40:661
42.10144,-87.77172,26.5,95,2018-09-21 14:11:41:160
42.10144,-87.77172,26.5,95,2018-09-21 14:11:41:660
42.10144,-87.77163,26.1,94.2,2018-09-21 14:11:42:160
42.10144,-87.77163,26.1,94.2,2018-09-21 14:11:42:660
42.10144,-87.77156,25,94.3,2018-09-21 14:11:43:160
42.10144,-87.77156,25,94.3,2018-09-21 14:11:43:661
42.10144,-87.77149,22.8,94.4,2018-09-21 14:11:44:160
42.10144,-87.77149,22.8,94.4,2018-09-21 14:11:44:661
42.10143,-87.77143,16.7,95.1,2018-09-21 14:11:45:160
42.10143,-87.77143,16.7,95.1,2018-09-21 14:11:45:660
42.10143,-87.77139,12.6,94.6,2018-09-21 14:11:46:161
42.10143,-87.77139,12.6,94.6,2018-09-21 14:11:46:660
42.10142,-87.77135,9.3,94.6,2018-09-21 14:11:47:160
42.10142,-87.77135,9.3,94.6,2018-09-21 14:11:47:661
42.10142,-87.77132,7.5,94.6,2018-09-21 14:11:48:160
42.10142,-87.77132,7.5,94.6,2018-09-21 14:11:48:660
42.10142,-87.77131,2.6,93.1,2018-09-21 14:11:49:160
42.10142,-87.77131,2.6,93.1,2018-09-21 14:11:49:660
42.10142,-87.77131,2.6,93.1,2018-09-21 14:11:50:160
42.10142,-87.77131,2.6,93.1,2018-09-21 14:11:50:660
42.10141,-87.77131,0,,2018-09-21 14:11:51:160
42.10141,-87.77131,0,,2018-09-21 14:11:51:661
42.10141,-87.77131,0,,2018-09-21 14:11:52:160
42.10141,-87.77131,0,,2018-09-21 14:11:52:661
42.1014,-87.77132,0,,2018-09-21 14:11:53:160
42.1014,-87.77132,0,,2018-09-21 14:11:53:660
42.1014,-87.77132,0,,2018-09-21 14:11:54:160
42.1014,-87.77132,0,,2018-09-21 14:11:54:660
42.1014,-87.77132,0,,2018-09-21 14:11:55:160
42.1014,-87.77132,0,,2018-09-21 14:11:55:660
42.1014,-87.77131,0,,2018-09-21 14:11:56:160
42.1014,-87.77131,0,,2018-09-21 14:11:56:660
42.1014,-87.77131,0,,2018-09-21 14:11:57:163
42.1014,-87.77131,0,,2018-09-21 14:11:57:660
42.1014,-87.77131,0,,2018-09-21 14:11:58:161
42.1014,-87.77131,0,,2018-09-21 14:11:58:661
42.1014,-87.77131,0,,2018-09-21 14:11:59:160
42.1014,-87.77131,0,,2018-09-21 14:11:59:660
42.1014,-87.77131,0,,2018-09-21 14:12:00:160
42.1014,-87.77131,0,,2018-09-21 14:12:00:660
42.1014,-87.77131,0,,2018-09-21 14:12:01:160
42.1014,-87.77131,0,,2018-09-21 14:12:01:661
42.1014,-87.77131,0,,2018-09-21 14:12:02:160
42.1014,-87.77131,0,,2018-09-21 14:12:02:660
42.1014,-87.77131,0,,2018-09-21 14:12:03:162
42.1014,-87.77131,0,,2018-09-21 14:12:03:660
42.1014,-87.77131,0,,2018-09-21 14:12:04:160
42.1014,-87.77131,0,,2018-09-21 14:12:04:660
42.1014,-87.77131,0,,2018-09-21 14:12:05:160
42.1014,-87.77131,0,,2018-09-21 14:12:05:660
42.1014,-87.77131,0,,2018-09-21 14:12:06:161
42.1014,-87.77131,0,,2018-09-21 14:12:06:660
42.1014,-87.77131,0,,2018-09-21 14:12:07:160
42.1014,-87.77131,0,,2018-09-21 14:12:07:660
42.1014,-87.77131,0,,2018-09-21 14:12:08:160
42.1014,-87.77131,0,,2018-09-21 14:12:08:660
42.1014,-87.77131,0,,2018-09-21 14:12:09:161
42.1014,-87.77131,0,,2018-09-21 14:12:09:660
42.1014,-87.77131,0,,2018-09-21 14:12:10:163
42.1014,-87.77131,0,,2018-09-21 14:12:10:660
42.1014,-87.77131,0,,2018-09-21 14:12:11:161
42.1014,-87.77131,0,,2018-09-21 14:12:11:660
42.1014,-87.77131,0,,2018-09-21 14:12:12:160
42.1014,-87.77131,0,,2018-09-21 14:12:12:660
42.1014,-87.77131,0,,2018-09-21 14:12:13:160
42.1014,-87.77131,0,,2018-09-21 14:12:13:660
42.1014,-87.77131,0,,2018-09-21 14:12:14:160
42.1014,-87.77131,0,,2018-09-21 14:12:14:660
42.1014,-87.77131,0,,2018-09-21 14:12:15:162
42.1014,-87.77131,0,,2018-09-21 14:12:15:660
42.1014,-87.77131,0,,2018-09-21 14:12:16:161
42.1014,-87.77131,0,,2018-09-21 14:12:16:660
42.1014,-87.77131,0,,2018-09-21 14:12:17:160
42.1014,-87.77131,0,,2018-09-21 14:12:17:660
42.1014,-87.77131,0,,2018-09-21 14:12:18:160
42.1014,-87.77131,0,,2018-09-21 14:12:18:660
42.1014,-87.77131,0,,2018-09-21 14:12:19:160
42.1014,-87.77131,0,,2018-09-21 14:12:19:660
42.1014,-87.77131,0,,2018-09-21 14:12:20:161
42.1014,-87.77131,0,,2018-09-21 14:12:20:660
42.1014,-87.77131,0,,2018-09-21 14:12:21:160
42.1014,-87.77131,0,,2018-09-21 14:12:21:660
42.1014,-87.77131,0,,2018-09-21 14:12:22:160
42.1014,-87.77131,0,,2018-09-21 14:12:22:660
42.1014,-87.77131,0,,2018-09-21 14:12:23:160
42.1014,-87.77131,0,,2018-09-21 14:12:23:660
42.1014,-87.77131,0,,2018-09-21 14:12:24:160
42.1014,-87.77131,0,,2018-09-21 14:12:24:662
42.1014,-87.77131,0,,2018-09-21 14:12:25:163
42.1014,-87.77131,0,,2018-09-21 14:12:25:661
42.1014,-87.77131,0,,2018-09-21 14:12:26:161
